Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
IPOR,Immunefi,100000,1000,646,"Solidity","Asset Management,DEX,Staking,AMM,Derivatives","Defi","ETH","Smart Contract",2023-04-19,1df814a26b844266cc1a411d65d1f85271fbb380a6571617fa852f1a5a04ba0b
Uniwhale,Immunefi,100000,21200,371,"Solidity","Synthetic Assets,Oracle,DEX,Perpetuals,Derivatives","Defi","BSC","Smart Contract",2023-05-01,33b2e0fb8bd0d0bb6574b2cb6167a40cdbb74c686af4b4200da2429b3675bc89
Metronome,Immunefi,100000,0,0,"Solidity","Synthetic Assets,Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-02-23,afbbee70e8e4ff1c9121794e3ef2aa55d29c2e85f47eb656f756d6512d3196b2
DFX Finance,Immunefi,100000,128000,2915,"Solidity","DEX","Defi","ETH,Polygon","Smart Contract",2023-02-13,3307881c00a7abfdd2aac79c19078f548a1a58637ff05b1a92e8e8da90c08dff
Mars Protocol,Immunefi,100000,20000,0,"Rust","L1","Blockchain","Terra","Smart Contract,Blockchain/DLT",2023-08-08,ca47c283b0a19950a39fb8788ce381d3d79646eeda8217d6e2654d422480fd4b
Pods,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-06-01,4ac495616c61941c3da825c6ec9a5f7796f1afb16a005d84343efff95816f78f
Geode Finance,Immunefi,100000,0,0,"Solidity","Staking","Defi","Avalanche","Smart Contract,Websites and Applications",2023-03-08,c3205e05cf93a0363684527d16c2fe6e2d80a8ce1f98c983a1e90fc288b5f09a
Revert,Immunefi,100000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract",2022-11-15,b28de340c0da93fef847e092ba4a1d2d0fc33d04b0ce3b6ca0a5da5369277cf2
Router,Immunefi,200000,103755,7048,"Solidity","Crosschain Liquidity,L2,L1","Blockchain,Defi,Infrastructure","ETH,Polygon","Smart Contract,Websites and Applications",2022-10-13,b914464e0448b36193b0ef0b08b63bbfee4a0a0ec4c449914869d8791a023fea
Yearn Finance,Immunefi,200000,207500,156,"Solidity","Lending,Yield Aggregator","Blockchain,Defi","ETH,Fantom","Smart Contract",2023-07-17,040c20486e8fe1e0113e36e5baa4245b4c32ba602275e247d5e8e24c8fccd244
Summer.fi,Immunefi,100000,26000,2093,"Solidity","Perpetuals,Lending,Wallet,Options","Defi","ETH","Smart Contract,Websites and Applications",2023-06-26,efa46056ec8491f418136b9b5c5104d4a87bd7ba02be960223a7ca5fe29c2424
Ocean Protocol,Immunefi,100000,666000,12699,"Solidity","DEX,Staking,Lending,Wallet,Currency","Blockchain,Defi,NFT","ETH,Polygon","Smart Contract",2023-05-04,2460a5aed592069968217d1c51da5df5f5f8c7b8d4344585d7ee2510b0777ccf
Sturdy,Immunefi,100000,0,0,"Solidity","Stablecoin,Lending","Defi","ETH,Fantom","Smart Contract,Websites and Applications",2022-11-01,545484e054aff9967aa6e24a9797318b9d0e7d92f66e92477b928b2cc68e4274
Superfluid,Immunefi,100000,0,0,"Solidity","","Defi","Polygon","Smart Contract",2023-06-06,df13a3dbf1ad2a7ed31f61b285b352ee3931a625cfd941ef4e221c228feab8e1
WePiggy,Immunefi,100000,0,0,"Solidity","Asset Management,Lending,L2","Defi,NFT","ETH,Polygon,Optimism,BSC,Heco","Smart Contract,Websites and Applications",2022-12-13,57220785d0edcd15e260455c7d5e55e1f751f0248e8ed0d638d225bfee09de17
WOOFi,Immunefi,100000,0,0,"Solidity","DEX,Staking,AMM,CEX","Defi","ETH","Smart Contract",2023-04-14,4dd46615ad415110840134dfc11fe7a6e7a2134efa597ef7eb2626068ba49dd8
IDEX,Immunefi,100000,0,0,"Solidity","DEX,Staking,AMM","Defi","Polygon","Smart Contract,Websites and Applications",2022-10-13,b59c76eb8c6722751b0dd57a0bce798a3970adc3caaaa494fc41e54dd0587417
Astroport,Immunefi,100000,0,0,"Rust","AMM","Defi","Terra","Smart Contract",2023-03-28,1b0566acf3b2fc5968c0cb220027f840dc408f5925fa19f81bac981d4047c6a8
Rai,Immunefi,100000,0,0,"Solidity","Stablecoin","Defi","ETH","Smart Contract",2023-01-02,87f02f23d507a77e7ad009b2c4ef19f5e0353a6a55141897844f2a84c6625fa7
BiFi,Immunefi,100000,250,2133,"Solidity","Perpetuals,Crosschain Liquidity,Wallet","Defi","ETH,Avalanche,BSC","Smart Contract",2023-07-18,e5cb2161664f80a226f1491e8664f8e28e442dd278764da3019d93ab65067024
Polkastarter,Immunefi,100000,0,0,"Solidity","","Defi","ETH,Avalanche,Polygon,Solana,Polkadot","Smart Contract",2022-10-19,3114bd2b3c9a88cf16cc396de03cae444717b92eb2043dc6f37e19bdfb19ddc7
Jet Protocol,Immunefi,100000,165500,10542,"Rust","Lending","Defi","Solana","Smart Contract,Websites and Applications",2022-10-13,ca20c8d22f1443a3432df4bb395bab083c7fb4b486bc0ebac7c8877f85ed8aef
Popsicle,Immunefi,100000,0,0,"Solidity","Staking,AMM","Blockchain","ETH,Fantom,BSC","Smart Contract",2023-03-08,e0ae3f23ab0880995a159b6d92efe644f5ced97d06afa6f9374b749ce2fb3831
CoinFLEX,Immunefi,100000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract,Websites and Applications",2022-10-13,b8ed643f6e6145c5a681da2a7d9987a3e7b682db93c6338123ed327b07745aca
dForce,Immunefi,100000,0,5202,"Solidity","Stablecoin,DEX,Lending,AMM","Defi","ETH,BSC","Smart Contract",2022-11-18,9517229eda1f7fb76aee09a4cb956f09b21dc0471a7f17f7a5f5beb4cd1719b2
BProtocol,Immunefi,100000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-06-26,13b9a67af141f84cbb5d788999a2f311a6bfaa7dca12afebf03150ff348114ce
Alpaca Finance,Immunefi,100000,0,0,"Solidity","Lending","Defi","BSC","Smart Contract",2023-05-03,439b674c7cb8381652c159898b643a9d2fa6ebaa9f9d8931f4b90a48963eb594
MUX,Immunefi,100000,0,0,"Solidity","DEX","Defi","ETH","Smart Contract,Websites and Applications",2023-03-08,cc3e42a14d87253b88b9603750dde6b076df51c3f64cd18cc53ed05b33e125de
DODO,Immunefi,100000,0,0,"Solidity","DEX,AMM","Defi","ETH,Polygon,BSC","Smart Contract",2023-05-07,051326179bdc092b3cbfb1d557f8326fc581ec7a3c1ba25c882767b9e6f07db3
Shadow Farm,Immunefi,100000,0,0,"Solidity","Staking,Yield Aggregator","Defi","Fantom","Smart Contract",2022-10-13,d302f66820e7e6f6d747682435ab7a3390c3981d3a7a7ecbe3800dedb80a19e5
Ease,Immunefi,100000,0,0,"Solidity","Insurance Aggregator","Defi","ETH","Smart Contract",2022-10-13,b4c9c8115aaaf958f5e00f31c80bcd3849ff06146946f4d27fe00572c68d4f49
Idle Finance,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-03-29,18c9222d7dd6faca0985867169ee39220edadf02ec7ce0511651f8809f55dcb9
Shell Protocol,Immunefi,100000,0,0,"Solidity","DEX,L2,AMM","Defi,NFT","ETH,Arbitrum","Smart Contract,Websites and Applications",2023-07-10,d7d9cfa6e7d4ab1e521723ced8b3d6e69d6f5d81a8255845742b6c4a339e2efa
Synthetix,Immunefi,100000,0,0,"Solidity","Synthetic Assets,DEX","Defi","ETH,Optimism","Smart Contract",2023-03-08,abd6312a413a3687dc05770b267e013f5429c16d3cb02c278235b0a93f0f387e
Harvest Finance,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-04-03,e7886b525dfcbe560234ced1ded9f72eed2c45b40090874241124d7d070203c5
Impossible Finance,Immunefi,94000,0,0,"Solidity","Launchpad","Defi","ETH,BSC","Smart Contract",2023-04-04,554ce0ab5eda87f4fc2397a18ae3b0673ba20bc8a7c2d548494b5b0e65bb5a12
Horizen (Gobi Testnet),Immunefi,75000,0,0,"Rust","Bug bounty,L2,L1","Blockchain","","Blockchain/DLT",2023-04-21,93470f9cb614c8935661c876ca7ecb0cab6008a90534fbc24b50364c8e362cd8
Bond Protocol,Immunefi,75000,0,0,"Solidity","","Defi","ETH","Smart Contract",2023-02-16,1b90676d150243cca15096478b2fe427efb2969dd40e914be5dc2fdee223b0a7
Beefy Finance,Immunefi,75000,0,0,"Solidity","Yield Aggregator","Defi","Polygon","Smart Contract,Websites and Applications",2022-10-13,b6d03df5dad30c552d3c90be8cc5c3fe71d0628ddf7bc48be90aba81ccc9af77
SORA,Immunefi,70000,0,0,"Solidity,Rust","DEX,Crosschain Liquidity,AMM","Defi","Polkadot","Websites and Applications,Blockchain/DLT",2023-01-29,5cb5617ae84a7bb96081249cd991722e957279e7ce1b43b66891e55b469ba99d
Mars Ecosystem,Immunefi,60000,0,0,"Solidity","Stablecoin","Defi","ETH,BSC","Smart Contract,Websites and Applications",2022-10-13,9b9883de9ea1829a407de9f6a03f230a4d8859173c4f64080ac45ce03a599939
Paladin,Immunefi,60000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2022-10-25,2c211acb55f06b540a0777c3df76811e1ae1bd46bd89cef7dabd0dc904e6db10
CoW Protocol,Immunefi,54000,0,0,"Solidity","Wallet","Defi","ETH","Smart Contract",2023-01-25,ffc50e81fc45d7f4bd5623af8caec3e4f7ef7429aa46f8b30a6226bc0a174198
MetaStreet,Immunefi,50000,0,0,"Solidity","Lending","Defi,NFT","ETH","Smart Contract",2023-08-02,f3e4b7d4d1dbd33f08b2a069248da507facc1a3438d73a1bf4d2ecc342aec137
Axiom,Immunefi,50000,0,0,"Solidity,Rust","","Infrastructure","ETH","Smart Contract",2023-07-25,f326876ae74ec009b0afb3d5228b8cacf147c8117034253afacaa5f23aebc961
Gala Games,Immunefi,50000,0,0,"Solidity","Wallet","Blockchain,Infrastructure,NFT","ETH","Smart Contract,Websites and Applications",2023-07-17,3678983bc90f28d8adb6f48c6ac3e72254ae86c4a9fbf4c310bbe6aaca3e33fd
Sommelier,Immunefi,50000,0,0,"Solidity,Rust","","Defi","ETH","Smart Contract,Websites and Applications,Blockchain/DLT",2023-05-24,4011e02ec1c4f8aa46407ba857e56d8d505efde1e78269a6fee3650631370e49
Sense,Immunefi,50000,91000,6329,"Solidity","Lending,Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-02-17,b27f4d89f25e8b998b45e318787e0dee3f21f6631944c8f32abbd87b3f946908
Vesper,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-04-21,b4b0ee4a8106d7c81cded7ca9856a48441e13e43ac0963a8b384ad1fb9b20b41
Saddle,Immunefi,100000,0,0,"Solidity","AMM,Yield Aggregator","Defi","ETH","Smart Contract",2023-03-08,0cfb6916e722c269e2e94e65bfddace1af43aa422222b5306eb628a9f522cd51
MM Finance,Immunefi,50000,0,0,"Solidity","DEX,AMM","Defi,NFT","Cronos","Smart Contract,Websites and Applications",2023-03-08,c5cdbea39c73c86d90ab7fb091fda591977ed1ffa6f88663db2c17efe28e1b78
Lossless,Immunefi,50000,0,0,"Solidity","","Defi","ETH","Smart Contract",2022-11-18,b7572c6dcfcdc9ccd0d530d9f0801462e5fe5c17282e63827e527e2e5c65a2e9
dHEDGE,Immunefi,50000,0,0,"Solidity","Asset Management","Defi","Polygon","Smart Contract",2023-04-21,87c0bf1c08cd82f1816e5dfa19c3fe7974ad0373a0d04195cd96a15341add96c
Gamma,Immunefi,50000,0,0,"Solidity","AMM","Defi,Infrastructure","ETH","Smart Contract",2023-03-31,fee39b3394eab2ef91e1881666d10b0a0e209e11ea578826ac77b8a22d3fe9e7
LatteSwap,Immunefi,50000,0,0,"Solidity","DEX","Defi,NFT","BSC","Smart Contract",2022-10-13,8ac293ceb2fcbffd286480a31f2b32af1bf188e30d149fd102ed3ed669756c5a
Lyra,Immunefi,50000,0,0,"Solidity","AMM","Defi","Optimism","Smart Contract",2023-01-16,7ebda9efebf4d3858911af830558dd7fd2c97e0c21dfe764b666f7b807659978
Ichi,Immunefi,50000,0,0,"Solidity","Stablecoin","Defi","ETH","Smart Contract",2023-04-04,6f6338d40ed41c3e88c68740e8fd70b4d3e8efff4933e6f8cfa21f197a248a1f
Foundation,Immunefi,50000,0,0,"Solidity","","NFT","ETH","Smart Contract",2022-10-13,fb0559fe2c94496aef4c0efdc3de645cd5bd483c0aee25ffbe04a0c43f738b75
Integral,Immunefi,50000,0,0,"Solidity","DEX,AMM","Defi","ETH","Smart Contract",2023-08-04,f820361fb7209502baad2798974e1a83b5abbb08818d82833b2654bb225c0fb6
Nexus Mutual,Immunefi,50000,0,0,"Solidity","Insurance","Defi","ETH","Smart Contract",2023-03-08,811493e70b189b1814e021f3312a40581d10793be09a59ceb6e6831c155e54eb
Immunefi,Immunefi,50000,18736,1328,"Solidity","Bug bounty","Infrastructure","ETH,xDAI","Smart Contract,Websites and Applications",2023-06-16,079da6afc5ac821f46c533b81ad3f9d089942583a18311a399a5770d65c355cd
Serai,Immunefi,30000,0,0,"Rust","DEX,Crosschain Liquidity,AMM,L1","Blockchain,Defi,Exchange","","Blockchain/DLT",2023-08-04,b94544f46715f0a6fcb19454ba110613d824e45c8fa7e5eb4b52a49ec37b3fd0
Zenlink,Immunefi,30000,0,0,"Solidity","DEX,Crosschain Liquidity","Defi","Polkadot","Smart Contract,Websites and Applications",2023-05-03,a80a2847dd42fcc1270d46d554b0e56f2836b94f49cd1f96952270b3ad080f18
Duet Finance,Immunefi,30000,0,0,"Solidity","AMM,Wallet,Yield Aggregator","Blockchain","ETH,Polygon,BSC","Smart Contract",2022-10-24,8b9c66563aa1a202111b01105759dd62533d1d394f495890eac24e17359d94be
Rubic,Immunefi,25000,0,0,"Solidity","DEX","Defi","ETH,Arbitrum","Smart Contract",2023-07-31,51dccc20fcb4f206b96d3bfcddbe6c5226de4987a6afbd6b148f6baf3c88d067
Cyan,Immunefi,25000,0,0,"Solidity","Staking,Lending","NFT","ETH,Polygon","Smart Contract",2023-07-13,84cafab3f3c419c312ca9836dfaf275945578dbe7921d7e4c26fb56731806312
Sector Finance,Immunefi,25000,0,0,"Solidity","Asset Management,Staking,Yield Aggregator","Defi","Optimism,Arbitrum","Smart Contract",2023-07-12,69d270dac3c732133e7f73c8e4d232e04a951be0279d8b285a7ef68c84aa3cc4
Aloe Protocol,Immunefi,25000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract,Websites and Applications",2023-02-07,b5c0087e2035f717bf45ebf4740839a84e7cd92c20836a2775b058ed84275cdd
Liquid Driver,Immunefi,50000,0,0,"Solidity","Yield Aggregator","Defi","Fantom","Smart Contract",2023-02-06,0dd2d90df1bdcecdb324759d206a83f446bfea695401d6e9bac4e6a9a3d88817
Ante Finance,Immunefi,50000,0,0,"Solidity","Staking","Blockchain,Defi","ETH","Smart Contract",2022-11-10,3d4a605b13cb832abdae9827e41d8056873bd2200c043d688c2a4552758bc47c
Tidal,Immunefi,25000,0,0,"Solidity","Lending,Insurance","Blockchain,Defi","ETH,Polkadot","Smart Contract,Websites and Applications",2023-03-22,89e4bce707a81b65d15516b309188a16bfca20576ee2689313f76a603f5a4457
Request Network,Immunefi,20000,0,0,"Solidity,Rust","","Defi","ETH,Avalanche,Fantom,Fuse,BSC","Smart Contract,Websites and Applications",2023-07-31,fb59bf2a59361f0e1753e431ae3a1b1c3ec6baf438028b73d45a2aad1af30a7b
Local Traders,Immunefi,20000,0,0,"Solidity","","Defi","BSC","Smart Contract",2023-06-22,d5fdc193e0d11af2262c51f0c1b083f3add6c78a950dfd338113de96e510d042
Nodle,Immunefi,20000,0,240,"Rust","Staking,L1,Wallet","Defi,Infrastructure,NFT","Polkadot","Websites and Applications,Blockchain/DLT",2023-06-01,6b83da7e6bf60334c8cf745f365219e7b9678f4000d0d423fa2a661a585ff34e
MetalSwap,Immunefi,20000,0,0,"Solidity","DEX","Defi","ETH","Smart Contract",2023-02-16,bc1d4435b45a70415f6aa17dcf7b9f5c84e414e0415be9dc22f53c560a81f68c
MYSO Finance,Immunefi,20000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-02-16,1834b611db7baa5b70f9d82060ac09cbff96ac5bc8fca3dcab6dd389e8609f29
Unlockd,Immunefi,20000,0,0,"Solidity","Crosschain Liquidity,Lending","NFT","ETH","Smart Contract,Websites and Applications",2023-07-03,6d1a2d9d53d5b5afd58f6268cb98d0384f775d54e5384e63745dd36b83f3f5ef
Predy Finance,Immunefi,20000,0,0,"Solidity","Perpetuals,Lending,AMM","Defi","Arbitrum","Smart Contract",2023-07-18,eb840ed0de4c7898df1f970a35a9007f924dd07cc820d0bd476d8be66e46d8ce
Bifrost Finance,Immunefi,20000,0,0,"Rust","Staking,Crosschain Liquidity,Lending,Wallet","Defi","Polkadot","Websites and Applications,Blockchain/DLT",2022-10-13,10d4e753c0c995dd625f3062edce35ea1dc5f992eb7ff8ca1500d6099658674a
WardenSwap,Immunefi,20000,0,0,"Solidity","DEX,L2","Blockchain,NFT","ETH,Polygon,BSC","Smart Contract",2023-03-20,3f943642d804a0b62b3f8a492d68d55bd662f9a7598656ea96fe08a99e15e1c2
